<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
R-Vision 2;60;20251210;090000;112.43;112.43;112.43;112.43;9;0
R-Vision 2;60;20251210;100000;113.88;113.97;111.12;111.98;743;0
R-Vision 2;60;20251210;110000;112.48;112.48;111.5;112.17;24;0
R-Vision 2;60;20251210;120000;111.7;111.71;111.55;111.7;106;0
R-Vision 2;60;20251210;130000;111.68;111.7;111.15;111.39;363;0
R-Vision 2;60;20251210;140000;111.39;111.52;111.16;111.52;290;0
R-Vision 2;60;20251210;150000;111.52;111.53;110.03;111.5;517;0
R-Vision 2;60;20251210;160000;111.4;111.4;110.27;111.23;172;0
R-Vision 2;60;20251210;170000;111.01;111.39;111.01;111.24;52;0
R-Vision 2;60;20251210;180000;111.24;111.53;111.06;111.53;255;0
R-Vision 2;60;20251210;190000;111.68;112.91;111.65;112.62;228;0
R-Vision 2;60;20251210;200000;111.65;112.97;111.65;112.97;156;0
R-Vision 2;60;20251210;210000;112.95;112.95;111.88;111.88;86;0
R-Vision 2;60;20251210;220000;111.89;111.89;111.89;111.89;24;0
R-Vision 2;60;20251210;230000;111.9;112.66;111.9;112.66;11;0
R-Vision 2;60;20251211;100000;112.37;112.37;111.05;112;108;0
R-Vision 2;60;20251211;110000;111.58;112.08;111.04;111.27;529;0
R-Vision 2;60;20251211;120000;111.25;111.96;111.22;111.86;264;0
R-Vision 2;60;20251211;130000;111.96;112.03;111.51;111.77;160;0
R-Vision 2;60;20251211;140000;111.77;112.61;111.77;112.6;845;0
R-Vision 2;60;20251211;150000;112.57;112.66;112.57;112.62;52;0
R-Vision 2;60;20251211;160000;112.62;112.65;112.06;112.06;198;0
R-Vision 2;60;20251211;170000;112.27;112.53;112.04;112.33;103;0
R-Vision 2;60;20251211;180000;112.45;112.64;112.02;112.36;147;0
R-Vision 2;60;20251211;190000;112.07;112.61;111.65;112;120;0
R-Vision 2;60;20251211;200000;112.5;112.5;111.78;112.48;61;0
R-Vision 2;60;20251211;210000;112.48;112.48;111.78;112.47;41;0
R-Vision 2;60;20251211;220000;112.42;112.42;112.42;112.42;30;0
R-Vision 2;60;20251211;230000;112.29;112.29;111.86;112.25;44;0
R-Vision 2;60;20251212;090000;112.25;112.25;112.25;112.25;41;0
R-Vision 2;60;20251212;100000;112.82;112.82;111.83;112.17;464;0
R-Vision 2;60;20251212;110000;112.16;112.8;112.15;112.31;4044;0
R-Vision 2;60;20251212;120000;112.32;112.32;111.23;111.24;755;0
R-Vision 2;60;20251212;130000;112;112;111.24;111.25;190;0
R-Vision 2;60;20251212;140000;111.45;112.29;111.22;112.04;456;0
R-Vision 2;60;20251212;150000;112.04;112.31;112.04;112.31;135;0
R-Vision 2;60;20251212;160000;112.01;112.01;112;112;10;0
R-Vision 2;60;20251212;170000;112.3;112.31;112.04;112.04;36;0
R-Vision 2;60;20251212;180000;112.31;112.31;111.75;111.76;167;0
R-Vision 2;60;20251212;190000;111.89;112.22;111.75;112.2;125;0
R-Vision 2;60;20251212;200000;112.2;112.22;111.76;112.22;109;0
R-Vision 2;60;20251212;210000;112.09;112.09;111.99;111.99;11;0
R-Vision 2;60;20251212;230000;112;112;112;112;1;0
R-Vision 2;60;20251215;100000;111.52;112.7;111.52;111.83;107;0
R-Vision 2;60;20251215;110000;111.98;112.46;111.98;112;65;0
R-Vision 2;60;20251215;120000;112;112.01;111.84;111.84;44;0
R-Vision 2;60;20251215;130000;111.83;111.93;111.63;111.93;43;0
R-Vision 2;60;20251215;140000;111.86;111.94;111.86;111.87;26;0
R-Vision 2;60;20251215;150000;111.89;112.12;111.89;111.99;35;0
R-Vision 2;60;20251215;160000;112.05;112.05;111.8;111.8;36;0
R-Vision 2;60;20251215;170000;111.9;111.9;111.89;111.9;103;0
R-Vision 2;60;20251215;180000;111.89;112.64;111.89;112.64;125;0
R-Vision 2;60;20251215;190000;112.59;112.59;112;112.53;98;0
R-Vision 2;60;20251215;200000;112.51;112.52;112.51;112.52;41;0
R-Vision 2;60;20251215;210000;112.52;112.53;112.52;112.53;15;0
R-Vision 2;60;20251215;220000;112.4;112.5;112.4;112.4;22;0
R-Vision 2;60;20251215;230000;112.15;112.54;112.15;112.54;64;0
R-Vision 2;60;20251216;100000;112.83;113.14;112.83;112.89;286;0
R-Vision 2;60;20251216;110000;113.24;113.51;112.97;113.5;119;0
R-Vision 2;60;20251216;120000;113.5;113.5;112.99;113.04;106;0
R-Vision 2;60;20251216;130000;113.42;113.8;113.34;113.52;316;0
R-Vision 2;60;20251216;140000;113.7;113.8;113.7;113.78;19;0
R-Vision 2;60;20251216;150000;113.77;113.78;113.52;113.78;12;0
R-Vision 2;60;20251216;160000;113.78;113.78;113.7;113.7;35;0
R-Vision 2;60;20251216;170000;113.7;113.7;113.52;113.52;10;0
R-Vision 2;60;20251216;180000;113.56;113.74;113.52;113.74;37;0
R-Vision 2;60;20251216;190000;113.74;113.75;113.74;113.74;86;0
R-Vision 2;60;20251216;200000;113.74;113.75;113.74;113.75;23;0
R-Vision 2;60;20251216;210000;113.75;113.75;113.52;113.52;27;0
R-Vision 2;60;20251216;220000;113.74;113.75;113.74;113.74;4;0
R-Vision 2;60;20251217;090000;113.74;113.74;113.74;113.74;4;0
R-Vision 2;60;20251217;100000;113.53;114.01;113.53;113.98;44;0
R-Vision 2;60;20251217;110000;113.72;113.99;113.7;113.99;346;0
R-Vision 2;60;20251217;120000;113.99;113.99;112.23;112.23;625;0
R-Vision 2;60;20251217;130000;112.33;113.34;112.22;112.9;74;0
R-Vision 2;60;20251217;140000;113.36;113.51;112.7;112.81;274;0
R-Vision 2;60;20251217;150000;112.73;112.77;112.33;112.33;44;0
R-Vision 2;60;20251217;160000;112.37;112.61;112.36;112.6;56;0
R-Vision 2;60;20251217;170000;112.39;112.79;112.39;112.55;102;0
R-Vision 2;60;20251217;180000;112.8;112.8;112.8;112.8;10;0
R-Vision 2;60;20251217;190000;112.99;113;112.56;112.81;206;0
R-Vision 2;60;20251217;200000;112.91;112.91;112.59;112.87;29;0
R-Vision 2;60;20251217;210000;112.84;112.97;112.82;112.97;18;0
R-Vision 2;60;20251217;220000;112.97;112.97;112.87;112.87;3;0
R-Vision 2;60;20251217;230000;112.87;112.87;112.87;112.87;1;0
R-Vision 2;60;20251218;100000;113.99;113.99;112.37;112.93;250;0
R-Vision 2;60;20251218;110000;112.62;112.9;112.22;112.56;165;0
R-Vision 2;60;20251218;120000;112.5;112.68;112.5;112.68;57;0
R-Vision 2;60;20251218;130000;112.5;112.6;112.23;112.57;49;0
R-Vision 2;60;20251218;140000;112.4;112.59;112.22;112.22;90;0
R-Vision 2;60;20251218;150000;112.55;112.6;112.54;112.58;38;0
R-Vision 2;60;20251218;160000;112.38;112.58;112.33;112.57;102;0
R-Vision 2;60;20251218;170000;112.57;112.57;111.06;111.87;669;0
R-Vision 2;60;20251218;180000;111.87;111.99;111.87;111.94;47;0
R-Vision 2;60;20251218;190000;112.48;112.6;112.48;112.6;177;0
R-Vision 2;60;20251218;200000;112.57;112.57;112.57;112.57;56;0
R-Vision 2;60;20251218;210000;112.5;112.57;112.48;112.57;17;0
R-Vision 2;60;20251218;220000;112.57;112.57;112.48;112.48;30;0
R-Vision 2;60;20251218;230000;112.57;112.57;112.06;112.12;26;0
R-Vision 2;60;20251219;100000;112.48;113.97;111.29;112.86;98;0
R-Vision 2;60;20251219;110000;112.58;112.76;112.58;112.76;54;0
R-Vision 2;60;20251219;120000;112.76;112.96;112.64;112.64;153;0
R-Vision 2;60;20251219;130000;112.96;112.96;112.74;112.96;21;0
R-Vision 2;60;20251219;140000;112.97;112.97;112.96;112.97;107;0
R-Vision 2;60;20251219;150000;113.07;113.48;112.95;113.46;72;0
R-Vision 2;60;20251219;160000;113.14;113.69;112.85;113.56;132;0
R-Vision 2;60;20251219;170000;113.55;113.7;113.55;113.7;2029;0
R-Vision 2;60;20251219;180000;113.55;113.75;113.55;113.75;10;0
R-Vision 2;60;20251219;190000;113.58;113.58;113.56;113.58;23;0
R-Vision 2;60;20251219;200000;113.56;113.7;113.56;113.7;2;0
R-Vision 2;60;20251219;220000;113.7;113.7;113.7;113.7;23;0
R-Vision 2;60;20251219;230000;113.58;113.58;112.86;112.86;21;0
R-Vision 2;60;20251222;090000;114.01;114.01;114.01;114.01;7;0
R-Vision 2;60;20251222;100000;113.53;114.46;112.66;113.9;239;0
R-Vision 2;60;20251222;110000;113.9;113.97;112.51;113.06;149;0
R-Vision 2;60;20251222;120000;112.98;113.18;112.98;113.16;290;0
R-Vision 2;60;20251222;130000;113.16;113.16;113;113.16;118;0
R-Vision 2;60;20251222;140000;113.15;113.15;112.98;113.1;61;0
R-Vision 2;60;20251222;150000;113.15;113.15;112.72;113.15;209;0
R-Vision 2;60;20251222;160000;113.15;113.15;113.15;113.15;35;0
R-Vision 2;60;20251222;170000;113.15;113.15;113.05;113.15;26;0
R-Vision 2;60;20251222;180000;113.15;113.15;113.15;113.15;69;0
R-Vision 2;60;20251222;190000;113.05;113.15;112.02;113.11;462;0
R-Vision 2;60;20251222;200000;113.09;113.09;113.06;113.09;111;0
R-Vision 2;60;20251222;210000;113.09;113.09;113;113.09;12;0
R-Vision 2;60;20251222;230000;113.05;113.05;112.3;113.04;12;0
R-Vision 2;60;20251223;100000;112.62;113.03;112.57;112.57;74;0
R-Vision 2;60;20251223;110000;112.57;112.57;112.08;112.11;113;0
R-Vision 2;60;20251223;120000;112.35;112.35;112.05;112.1;86;0
R-Vision 2;60;20251223;130000;112.1;112.35;112.02;112.33;186;0
R-Vision 2;60;20251223;140000;112.33;112.33;112.21;112.21;96;0
R-Vision 2;60;20251223;150000;112.2;112.2;112.01;112.01;1022;0
R-Vision 2;60;20251223;160000;112.19;112.19;112.01;112.16;94;0
R-Vision 2;60;20251223;170000;112.16;112.19;112;112;182;0
R-Vision 2;60;20251223;180000;111.83;112.18;111.5;112.18;62;0
R-Vision 2;60;20251223;190000;111.73;112.18;111.73;112.18;6;0
R-Vision 2;60;20251223;200000;112.18;112.18;112.04;112.04;5;0
R-Vision 2;60;20251223;210000;112.05;112.06;112.05;112.06;5;0
R-Vision 2;60;20251223;230000;112.18;112.18;112.06;112.06;4;0
R-Vision 2;60;20251224;090000;113.11;113.11;113.11;113.11;10;0
R-Vision 2;60;20251224;100000;112.65;112.91;112.1;112.12;183;0
R-Vision 2;60;20251224;110000;112.06;112.07;112.01;112.04;333;0
R-Vision 2;60;20251224;120000;112.01;112.01;111.46;111.98;182;0
R-Vision 2;60;20251224;130000;111.98;112.06;111.97;112.06;152;0
R-Vision 2;60;20251224;140000;112.03;112.07;111.98;111.98;675;0
R-Vision 2;60;20251224;150000;111.98;112.07;111.98;112.07;146;0
R-Vision 2;60;20251224;160000;112.07;112.1;112.07;112.1;40;0
R-Vision 2;60;20251224;170000;112.1;112.48;112.1;112.48;16;0
R-Vision 2;60;20251224;180000;112.48;112.48;112.4;112.4;47;0
R-Vision 2;60;20251224;190000;112.48;112.51;112.48;112.51;24;0
R-Vision 2;60;20251224;200000;112.54;112.96;112.54;112.96;57;0
R-Vision 2;60;20251224;210000;112.96;112.96;112.54;112.9;60;0
R-Vision 2;60;20251224;220000;112.9;112.9;112.54;112.9;33;0
R-Vision 2;60;20251224;230000;112.9;112.9;112.9;112.9;6;0
R-Vision 2;60;20251225;100000;113.06;113.08;111.34;112.88;512;0
R-Vision 2;60;20251225;110000;112.84;112.88;112.47;112.47;114;0
R-Vision 2;60;20251225;120000;112.48;112.48;111.04;111.3;388;0
R-Vision 2;60;20251225;130000;111.3;112.19;111.3;111.96;78;0
R-Vision 2;60;20251225;140000;111.87;112;111.7;112;50;0
R-Vision 2;60;20251225;150000;112;112.38;111.7;112.38;144;0
R-Vision 2;60;20251225;160000;112.05;112.46;112.05;112.42;19;0
R-Vision 2;60;20251225;170000;112.42;112.47;112.42;112.47;93;0
R-Vision 2;60;20251225;180000;112.47;112.48;112.47;112.48;119;0
R-Vision 2;60;20251225;190000;112.48;112.71;112.47;112.71;46;0
R-Vision 2;60;20251225;200000;112.48;112.83;112.48;112.8;38;0
R-Vision 2;60;20251225;210000;112.8;112.84;112.8;112.84;18;0
R-Vision 2;60;20251225;220000;112.82;112.84;112.82;112.84;21;0
R-Vision 2;60;20251225;230000;112.5;112.5;111.71;111.71;19;0
R-Vision 2;60;20251226;090000;111.99;111.99;111.99;111.99;1;0
R-Vision 2;60;20251226;100000;112.81;112.81;111.99;112.75;72;0
R-Vision 2;60;20251226;110000;112.75;112.79;111.99;112.79;610;0
R-Vision 2;60;20251226;120000;112.79;112.79;112.77;112.78;579;0
R-Vision 2;60;20251226;130000;112.78;112.78;112.5;112.5;37;0
R-Vision 2;60;20251226;140000;112.51;112.78;112.5;112.5;77;0
R-Vision 2;60;20251226;150000;112.77;112.78;112.5;112.53;153;0
R-Vision 2;60;20251226;160000;112.77;112.77;112.51;112.75;175;0
R-Vision 2;60;20251226;170000;112.66;112.77;112.66;112.77;39;0
R-Vision 2;60;20251226;180000;112.7;112.79;112.7;112.79;142;0
R-Vision 2;60;20251226;190000;112.79;113.68;112.79;113.68;171;0
R-Vision 2;60;20251226;200000;113.2;113.69;112.87;113.69;107;0
R-Vision 2;60;20251226;210000;113.7;113.71;113.7;113.71;4;0
R-Vision 2;60;20251226;220000;113.72;113.85;113.71;113.83;176;0
R-Vision 2;60;20251226;230000;113.38;113.6;113.38;113.59;5;0
R-Vision 2;60;20251229;090000;113.54;113.54;113.54;113.54;17;0
R-Vision 2;60;20251229;100000;113;113.56;112.02;112.94;1016;0
R-Vision 2;60;20251229;110000;113.13;113.31;113.13;113.31;80;0
R-Vision 2;60;20251229;120000;113.31;113.31;112.87;113.31;330;0
R-Vision 2;60;20251229;130000;113.31;113.31;113.11;113.31;235;0
R-Vision 2;60;20251229;140000;113.31;113.5;113.31;113.5;107;0
R-Vision 2;60;20251229;150000;113.44;114.44;113.44;113.83;194;0
R-Vision 2;60;20251229;160000;114.41;114.41;113.53;114.11;206;0
R-Vision 2;60;20251229;170000;113.9;114.08;113.35;113.95;316;0
R-Vision 2;60;20251229;180000;113.95;114.2;113.32;114.14;252;0
R-Vision 2;60;20251229;190000;114.13;114.14;113.76;114.14;88;0
R-Vision 2;60;20251229;200000;114;114;113.76;113.79;102;0
R-Vision 2;60;20251229;210000;113.98;113.99;113.8;113.8;72;0
R-Vision 2;60;20251229;220000;113.98;115.1;113.98;114.32;331;0
R-Vision 2;60;20251229;230000;114.62;114.62;114.62;114.62;1;0
R-Vision 2;60;20251230;100000;114.63;114.69;113.85;114.14;149;0
R-Vision 2;60;20251230;110000;114;114.17;113.78;113.78;89;0
R-Vision 2;60;20251230;120000;114.15;114.16;113.95;114.16;55;0
R-Vision 2;60;20251230;130000;113.9;114.16;113.88;114.15;114;0
R-Vision 2;60;20251230;140000;114.15;114.5;114.15;114.5;365;0
R-Vision 2;60;20251230;150000;114.5;114.5;114.1;114.35;542;0
R-Vision 2;60;20251230;160000;114.35;114.5;114.08;114.49;151;0
R-Vision 2;60;20251230;170000;114.49;114.5;114.49;114.5;107;0
R-Vision 2;60;20251230;180000;114.5;114.5;114.49;114.5;93;0
R-Vision 2;60;20251230;190000;114.53;114.6;114.49;114.6;143;0
R-Vision 2;60;20251230;200000;114.6;114.6;114.6;114.6;4;0
R-Vision 2;60;20251230;210000;114.7;114.79;114.7;114.79;11;0
R-Vision 2;60;20251230;220000;114.79;115.39;114.79;115.39;72;0
R-Vision 2;60;20251230;230000;114.66;115.26;114;115.26;181;0
R-Vision 2;60;20260105;090000;114.5;114.5;114.5;114.5;20;0
R-Vision 2;60;20260105;100000;113.52;114.9;113.09;114.4;791;0
R-Vision 2;60;20260105;110000;114.46;114.46;113.95;113.95;81;0
R-Vision 2;60;20260105;120000;113.95;114.47;113.92;113.98;186;0
R-Vision 2;60;20260105;130000;113.97;113.97;113.57;113.8;77;0
R-Vision 2;60;20260105;140000;113.53;113.72;113.5;113.58;86;0
R-Vision 2;60;20260105;150000;113.58;113.61;113.51;113.6;57;0
R-Vision 2;60;20260105;160000;113.56;113.71;113.52;113.52;76;0
R-Vision 2;60;20260105;170000;113.7;114.02;113.7;114.02;77;0
R-Vision 2;60;20260105;180000;114.29;114.29;113.94;114.15;128;0
R-Vision 2;60;20260105;190000;114.17;114.23;113.94;114;54;0
R-Vision 2;60;20260105;200000;114.11;114.16;114.02;114.02;52;0
R-Vision 2;60;20260105;210000;114.13;114.46;114.13;114.2;110;0
R-Vision 2;60;20260105;220000;114.42;114.49;114.42;114.49;27;0
R-Vision 2;60;20260105;230000;114.23;114.23;114.23;114.23;2;0
R-Vision 2;60;20260106;100000;114.37;114.37;114.2;114.22;79;0
R-Vision 2;60;20260106;110000;114.23;114.23;114.22;114.22;50;0
R-Vision 2;60;20260106;120000;114.21;114.24;114.15;114.24;264;0
R-Vision 2;60;20260106;130000;114.46;114.5;114.24;114.24;20;0
R-Vision 2;60;20260106;140000;114.24;114.37;114.24;114.37;137;0
R-Vision 2;60;20260106;150000;114.3;114.36;114.3;114.36;18;0
R-Vision 2;60;20260106;160000;114.36;114.36;114.23;114.34;214;0
R-Vision 2;60;20260106;170000;114.34;114.34;114.24;114.24;19;0
R-Vision 2;60;20260106;180000;114.32;114.32;114.32;114.32;2;0
R-Vision 2;60;20260106;190000;114.24;114.32;114.23;114.32;34;0
R-Vision 2;60;20260106;200000;114.32;114.32;114.24;114.24;2;0
R-Vision 2;60;20260106;210000;114.24;114.24;114.24;114.24;3;0
R-Vision 2;60;20260106;230000;114.24;114.24;114.24;114.24;5;0
R-Vision 2;60;20260108;100000;114.26;114.26;114.1;114.1;71;0
R-Vision 2;60;20260108;110000;114.24;114.25;114.11;114.25;49;0
R-Vision 2;60;20260108;120000;114.25;114.25;113.48;113.88;527;0
R-Vision 2;60;20260108;130000;113.79;114.2;113.78;114.12;37;0
R-Vision 2;60;20260108;140000;113.86;113.86;113.85;113.85;3;0
R-Vision 2;60;20260108;150000;113.86;114.25;113.86;114.25;91;0
R-Vision 2;60;20260108;160000;114.05;114.14;113.7;114.14;37;0
R-Vision 2;60;20260108;170000;114.09;114.5;113.79;114.49;268;0
R-Vision 2;60;20260108;180000;114.2;114.48;114.2;114.4;14;0
R-Vision 2;60;20260108;190000;114.4;114.45;114.4;114.45;13;0
R-Vision 2;60;20260108;200000;114.45;114.45;114.45;114.45;2;0
R-Vision 2;60;20260108;210000;114.47;114.5;114.4;114.4;9;0
R-Vision 2;60;20260108;220000;114.4;114.4;114.4;114.4;1;0
R-Vision 2;60;20260108;230000;114.5;114.5;114.5;114.5;4;0
R-Vision 2;60;20260109;100000;114.5;114.6;114.5;114.53;57;0
R-Vision 2;60;20260109;110000;114.53;114.53;114.35;114.35;32;0
R-Vision 2;60;20260109;120000;114.36;114.53;114.35;114.35;96;0
R-Vision 2;60;20260109;130000;114.53;114.62;114.35;114.62;122;0
R-Vision 2;60;20260109;140000;114.39;114.7;114.36;114.36;119;0
R-Vision 2;60;20260109;150000;114.37;114.37;114.37;114.37;1;0
R-Vision 2;60;20260109;160000;114.36;114.36;114;114;30;0
R-Vision 2;60;20260109;180000;114.53;114.54;114.52;114.54;5;0
R-Vision 2;60;20260109;190000;114.37;114.6;114.37;114.6;8;0
R-Vision 2;60;20260109;200000;114.6;114.6;114.47;114.47;27;0
R-Vision 2;60;20260109;210000;114.61;114.7;114.33;114.33;64;0
R-Vision 2;60;20260109;220000;114.32;114.32;114;114.26;13;0
R-Vision 2;60;20260112;090000;114.26;114.26;114.26;114.26;14;0
R-Vision 2;60;20260112;100000;114;114.26;113.31;114.26;296;0
R-Vision 2;60;20260112;110000;114.26;115.28;114.25;115.28;49;0
R-Vision 2;60;20260112;120000;115.27;115.28;114.94;114.99;80;0
R-Vision 2;60;20260112;130000;114.94;114.94;114.58;114.58;10;0
R-Vision 2;60;20260112;140000;114.58;114.58;114.28;114.58;13;0
R-Vision 2;60;20260112;150000;114.58;114.58;114.58;114.58;4;0
R-Vision 2;60;20260112;160000;114.58;114.7;114.31;114.7;146;0
R-Vision 2;60;20260112;170000;114.7;114.7;114.7;114.7;72;0
R-Vision 2;60;20260112;180000;114.7;114.7;114.7;114.7;13;0
R-Vision 2;60;20260112;190000;114.5;114.7;114.43;114.7;9;0
R-Vision 2;60;20260112;200000;114.69;114.7;114.41;114.41;37;0
R-Vision 2;60;20260112;210000;114.42;114.69;114.41;114.69;4;0
R-Vision 2;60;20260113;090000;115.5;115.5;115.5;115.5;1;0
R-Vision 2;60;20260113;100000;115.49;115.81;113.64;114.61;42;0
R-Vision 2;60;20260113;110000;114.61;114.61;114.05;114.17;55;0
R-Vision 2;60;20260113;120000;114.31;114.4;114.29;114.4;8;0
R-Vision 2;60;20260113;130000;114.38;114.61;114.23;114.61;76;0
R-Vision 2;60;20260113;140000;114.6;114.61;114.44;114.44;38;0
R-Vision 2;60;20260113;150000;114.44;114.7;114.31;114.7;365;0
R-Vision 2;60;20260113;160000;114.35;114.58;114.16;114.18;36;0
R-Vision 2;60;20260113;170000;114.46;114.48;114.46;114.48;11;0
R-Vision 2;60;20260113;180000;114.48;114.7;114.25;114.7;24;0
R-Vision 2;60;20260113;190000;114.65;114.66;114.25;114.66;106;0
R-Vision 2;60;20260113;200000;114.36;114.66;114.36;114.66;10;0
R-Vision 2;60;20260113;210000;114.66;114.66;114.37;114.63;3;0
R-Vision 2;60;20260113;220000;114.67;114.69;114.67;114.69;11;0
R-Vision 2;60;20260114;100000;114.68;114.69;114.43;114.69;174;0
R-Vision 2;60;20260114;110000;114.69;114.69;114.69;114.69;77;0
R-Vision 2;60;20260114;120000;114.69;114.7;114.58;114.58;47;0
R-Vision 2;60;20260114;130000;114.58;114.69;114.58;114.58;31;0
R-Vision 2;60;20260114;140000;114.63;114.63;114.63;114.63;23;0
R-Vision 2;60;20260114;150000;114.63;114.63;114.63;114.63;7;0
R-Vision 2;60;20260114;160000;114.63;114.63;114.63;114.63;3;0
R-Vision 2;60;20260114;170000;114.61;114.63;114.58;114.63;23;0
R-Vision 2;60;20260114;180000;114.63;114.63;114.58;114.63;111;0
R-Vision 2;60;20260114;190000;114.63;114.63;114.63;114.63;4;0
R-Vision 2;60;20260114;200000;114.7;114.7;114.7;114.7;1;0
R-Vision 2;60;20260114;220000;114.7;114.7;114.63;114.63;24;0
R-Vision 2;60;20260114;230000;114.63;114.63;114.63;114.63;4;0
R-Vision 2;60;20260115;100000;114.76;114.76;114.37;114.37;115;0
R-Vision 2;60;20260115;110000;114.69;115.54;114.69;115.54;195;0
R-Vision 2;60;20260115;120000;115.55;115.61;115.16;115.61;49;0
R-Vision 2;60;20260115;130000;115.62;116.18;115.62;116.18;56;0
R-Vision 2;60;20260115;140000;116.65;116.65;114.52;115.99;97;0
R-Vision 2;60;20260115;150000;115.95;116;114.58;115.99;118;0
R-Vision 2;60;20260115;160000;115.99;115.99;114.87;115.98;65;0
R-Vision 2;60;20260115;170000;115.98;115.98;115.98;115.98;5;0
R-Vision 2;60;20260115;190000;115.5;115.53;115.2;115.52;33;0
R-Vision 2;60;20260115;200000;115.52;115.52;115.52;115.52;2;0
R-Vision 2;60;20260115;210000;115.52;116;115.52;116;134;0
R-Vision 2;60;20260115;220000;116;116;115.2;115.2;20;0
R-Vision 2;60;20260116;100000;115.2;115.27;115.2;115.27;66;0
R-Vision 2;60;20260116;110000;115.25;115.27;115.25;115.27;52;0
R-Vision 2;60;20260116;120000;115.27;115.27;115.23;115.27;9;0
R-Vision 2;60;20260116;130000;115.27;115.27;114.67;114.67;105;0
R-Vision 2;60;20260116;140000;115.11;115.13;115.11;115.13;4;0
R-Vision 2;60;20260116;150000;115.13;115.27;114.97;114.97;42;0
R-Vision 2;60;20260116;160000;114.97;115.27;114.97;115.27;86;0
R-Vision 2;60;20260116;180000;115.27;115.27;115.27;115.27;4;0
R-Vision 2;60;20260116;190000;115.27;115.27;115.27;115.27;4;0
R-Vision 2;60;20260116;200000;115.27;115.28;115.16;115.28;107;0
R-Vision 2;60;20260116;210000;115.14;115.28;115.14;115.28;5;0
R-Vision 2;60;20260116;220000;115.02;115.28;114.97;115.28;103;0
R-Vision 2;60;20260116;230000;115.28;115.89;115.28;115.89;30;0
R-Vision 2;60;20260119;100000;115.98;115.98;114.86;115.03;78;0
R-Vision 2;60;20260119;110000;115.54;115.8;115.1;115.79;117;0
R-Vision 2;60;20260119;120000;115.79;115.8;115.12;115.78;97;0
R-Vision 2;60;20260119;130000;115.25;115.74;115.25;115.74;12;0
R-Vision 2;60;20260119;140000;115.74;115.79;115.28;115.33;141;0
R-Vision 2;60;20260119;150000;115.73;115.74;115.73;115.74;2;0
R-Vision 2;60;20260119;160000;115.7;115.72;115.46;115.46;22;0
R-Vision 2;60;20260119;170000;115.11;115.11;115.11;115.11;1;0
R-Vision 2;60;20260119;180000;115.72;115.73;115.72;115.73;25;0
R-Vision 2;60;20260119;190000;115.48;115.74;115.06;115.06;278;0
R-Vision 2;60;20260119;200000;115.25;115.25;115.07;115.07;8;0
R-Vision 2;60;20260119;210000;115.06;115.73;115.06;115.73;758;0
R-Vision 2;60;20260119;220000;115.73;115.73;115.07;115.07;22;0
R-Vision 2;60;20260119;230000;115.07;115.07;115.07;115.07;6;0
R-Vision 2;60;20260120;100000;115.07;115.54;114.82;115.06;27;0
R-Vision 2;60;20260120;110000;115.07;115.07;114.82;115.05;43;0
R-Vision 2;60;20260120;120000;115;115.05;115;115;317;0
R-Vision 2;60;20260120;130000;115.05;115.05;115;115.01;125;0
R-Vision 2;60;20260120;140000;115;115.05;115;115;490;0
R-Vision 2;60;20260120;150000;115;115.01;115;115;1725;0
R-Vision 2;60;20260120;160000;115.05;115.05;115;115.05;20;0
R-Vision 2;60;20260120;170000;115;115.46;115;115.46;86;0
R-Vision 2;60;20260120;180000;115.44;115.44;115.27;115.27;5;0
R-Vision 2;60;20260120;190000;115.47;115.52;115.47;115.5;35;0
R-Vision 2;60;20260120;200000;115.52;115.52;115.52;115.52;10;0
R-Vision 2;60;20260120;220000;115.52;115.52;115.52;115.52;1;0
R-Vision 2;60;20260120;230000;115.52;115.79;115.52;115.79;50;0
R-Vision 2;60;20260121;090000;115.79;115.79;115.79;115.79;15;0
R-Vision 2;60;20260121;100000;115.79;115.8;115.79;115.79;291;0
R-Vision 2;60;20260121;110000;115.79;115.99;115.79;115.99;216;0
R-Vision 2;60;20260121;120000;115.99;115.99;115.79;115.79;130;0
R-Vision 2;60;20260121;130000;115.79;115.99;115.2;115.2;15;0
R-Vision 2;60;20260121;140000;115.25;115.99;115.25;115.99;45;0
R-Vision 2;60;20260121;150000;115.99;115.99;115.4;115.99;22;0
R-Vision 2;60;20260121;160000;115.99;115.99;115.28;115.28;6;0
R-Vision 2;60;20260121;170000;115.98;115.99;115.98;115.99;77;0
R-Vision 2;60;20260121;180000;115.99;115.99;115.31;115.31;28;0
R-Vision 2;60;20260121;190000;115.98;115.98;115.02;115.98;30;0
R-Vision 2;60;20260121;200000;115.24;115.24;115.15;115.15;7;0
R-Vision 2;60;20260121;210000;115.98;115.98;115.98;115.98;2;0
R-Vision 2;60;20260121;220000;115.93;115.93;115.93;115.93;1;0
R-Vision 2;60;20260121;230000;115.93;115.99;115.93;115.99;5;0
R-Vision 2;60;20260122;100000;115.99;115.99;115.5;115.57;21;0
R-Vision 2;60;20260122;110000;115.57;115.59;115.57;115.59;8;0
R-Vision 2;60;20260122;120000;115.5;116;115.5;115.8;93;0
R-Vision 2;60;20260122;130000;115.62;115.8;115.5;115.5;13;0
R-Vision 2;60;20260122;140000;115.75;116;115.5;115.96;91;0
R-Vision 2;60;20260122;150000;115.75;115.75;115.5;115.5;13;0
